Id,Title,Year,Style,Rating,Comments,Country,Quote,Link
215,上帝也疯狂,                            1980 , 喜剧,8.6,90702, 博茨瓦纳/南非 ,纯净原始的笑与感动。,https://movie.douban.com/subject/1297478/
216,初恋这件小事,                            2010 , 喜剧/爱情,8.2,429092, 泰国 ,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
217,勇士,                            2011 , 剧情/运动/家庭,8.9,82395, 美国 ,热血沸腾，相当完美的娱乐拳击大餐。,https://movie.douban.com/subject/3217169/
218,蓝色大门,                            2002 , 剧情/爱情/同性,8.3,260878, 台湾/法国 ,青春的窃窃私语。 ,https://movie.douban.com/subject/1308575/
219,爱·回家,                            2002 , 剧情/儿童/家庭,9.0,44567, 韩国 ,献给所有外婆的电影。,https://movie.douban.com/subject/1299361/
220,模仿游戏,                            2014 , 剧情/传记/战争/同性,8.5,234646, 英国/美国 ,,https://movie.douban.com/subject/10463953/
221,曾经,                            2006 , 剧情/音乐/爱情,8.3,193653, 爱尔兰 ,有些幸福无关爱情。,https://movie.douban.com/subject/2053515/
222,无敌破坏王,                            2012 , 喜剧/动画/冒险,8.6,174124, 美国 ,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
223,大卫·戈尔的一生,                            2003 , 剧情/犯罪/悬疑,8.7,82332, 美国/德国/英国 ,捍卫人权只是信仰，一点不妨碍其行为的残忍。,https://movie.douban.com/subject/1305725/
224,麦兜故事,                            2001 , 剧情/喜剧/动画,8.5,120597, 香港 ,麦兜是一只很哲学的猪。 ,https://movie.douban.com/subject/1302476/
225,血钻,                            2006 , 剧情/惊悚/冒险,8.5,120456, 美国/德国 ,每个美丽事物背后都是滴血的现实。,https://movie.douban.com/subject/1428175/
226,暖暖内含光,                            2004 , 剧情/爱情/奇幻,8.4,135983, 美国 ,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,https://movie.douban.com/subject/1308777/
227,国王的演讲,                            2010 , 剧情/传记/历史,8.3,316804, 英国/澳大利亚/美国 ,皇上无话儿。,https://movie.douban.com/subject/4023638/
228,蝴蝶,                            2002 , 剧情/儿童/喜剧,8.6,91383, 法国 ,我们长途跋涉寻找的东西，有可能一直就在身边。 ,https://movie.douban.com/subject/1292056/
229,爱在午夜降临前,                            2013 , 剧情/爱情,8.7,105782, 美国 ,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
230,遗愿清单,                            2007 , 冒险/喜剧/剧情,8.5,117058, 美国 ,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
231,枪火,                            1999 , 剧情/动作/犯罪,8.6,91629, 香港 ,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,https://movie.douban.com/subject/1300741/
232,巴黎淘气帮,                            2009 , 儿童/喜剧/家庭,8.6,100482, 法国/比利时 ,四百击的反面。,https://movie.douban.com/subject/3157605/
233,与狼共舞,                            1990 , 冒险/剧情/西部,8.9,53415, 美国 ,充满诗意与情怀的史诗作品。 ,https://movie.douban.com/subject/1293764/
234,疯狂的石头,                            2006 , 喜剧/犯罪,8.2,288051, 中国大陆/香港 ,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
235,千钧一发,                            1997 , 剧情/科幻,8.7,77471, 美国 ,一部能引人思考的科幻励志片。,https://movie.douban.com/subject/1300117/
236,荒岛余生,                            2000 , 冒险/剧情,8.4,123377, 美国 ,一个人的独角戏。,https://movie.douban.com/subject/1298653/
237,偷拐抢骗,                            2000 , 喜剧/犯罪,8.5,109497, 英国/美国 ,典型盖·里奇式的英国黑色幽默黑帮片。,https://movie.douban.com/subject/1301171/
238,月球,                            2009 , 剧情/科幻/悬疑,8.5,133821, 英国 ,2009媲美《第九区》的又一部科幻神作。,https://movie.douban.com/subject/3073124/
239,夜访吸血鬼,                            1994 , 剧情/奇幻/惊悚,8.3,187180, 美国 ,弥漫淡淡血腥气的优雅。,https://movie.douban.com/subject/1299327/
240,寿司之神,                            2011 , 纪录片,8.8,76203, 美国 ,仪式主义的狂欢，偏执狂的完胜。,https://movie.douban.com/subject/6146955/
241,我爱你,                            2011 , 剧情/爱情,9.0,51236, 韩国 ,你要相信，这世上真的有爱存在，不管在什么年纪 ,https://movie.douban.com/subject/5908478/
242,中央车站,                            1998 , 剧情,8.7,72568, 巴西/法国 ,心灵救赎。,https://movie.douban.com/subject/1292218/
243,爱在暹罗,                            2007 , 剧情/爱情/同性/家庭,8.3,210226, 泰国 ,把爱放在心底，有爱就有希望。,https://movie.douban.com/subject/2365260/
244,廊桥遗梦,                            1995 , 剧情/爱情,8.5,91639, 美国 ,这样确切的爱，一生只有一次。,https://movie.douban.com/subject/1293929/
245,彗星来的那一夜,                            2013 , 科幻/悬疑/惊悚,8.4,153264, 美国/英国 ,小成本大魅力。,https://movie.douban.com/subject/25807345/
246,罪恶之城,                            2005 , 动作/犯罪/惊悚,8.4,133411, 美国 ,权力不是来自枪和子弹，权力来自谎言。,https://movie.douban.com/subject/1309027/
247,头脑特工队,                            2015 , 喜剧/动画/冒险/家庭,8.7,201938, 美国 ,,https://movie.douban.com/subject/10533913/
248,房间,                            2015 , 剧情/家庭,8.8,132605, 爱尔兰/加拿大 ,,https://movie.douban.com/subject/25724855/
249,黑鹰坠落,                            2001 , 动作/历史/战争,8.5,102650, 美国 ,还原真实而残酷的战争。,https://movie.douban.com/subject/1291824/
