regionId,name,country,color,coordinates,frequency,width
28->720,赫尔辛基->波尔沃,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>24.941025,60.173324,0.0 25.665274,60.393192,0.0</coordinates></LineString></MultiGeometry>",1,1
28->164,赫尔辛基->斯德哥尔摩,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>24.941025,60.173324,0.0 18.068581,59.329324,0.0</coordinates></LineString></MultiGeometry>",2,1
28->661,赫尔辛基->图尔库,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>24.941025,60.173324,0.0 22.26663,60.451813,0.0</coordinates></LineString></MultiGeometry>",1,1
88->87,加尔达湖->多洛米蒂山区,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>10.656346,45.633626,0.0 11.835568,46.436417,0.0</coordinates></LineString></MultiGeometry>",2,1
88->89,加尔达湖->维罗纳,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>10.656346,45.633626,0.0 10.982575,45.438653,0.0</coordinates></LineString></MultiGeometry>",1,1
87->698,多洛米蒂山区->特罗吉尔,Italy,#450EDC,"<MultiGeometry><LineString><coordinates>11.835568,46.436417,0.0 16.250189,43.516387,0.0</coordinates></LineString></MultiGeometry>",2,1
698->699,特罗吉尔->希贝尼克,Croatia,#9DA531,"<MultiGeometry><LineString><coordinates>16.250189,43.516387,0.0 15.895205,43.73502,0.0</coordinates></LineString></MultiGeometry>",2,1
698->113,特罗吉尔->斯普利特,Croatia,#9DA531,"<MultiGeometry><LineString><coordinates>16.250189,43.516387,0.0 16.44668,43.515286,0.0</coordinates></LineString></MultiGeometry>",5,3
699->696,希贝尼克->扎达尔,Croatia,#9DA531,"<MultiGeometry><LineString><coordinates>15.895205,43.73502,0.0 15.231365,44.119371,0.0</coordinates></LineString></MultiGeometry>",2,1
699->698,希贝尼克->特罗吉尔,Croatia,#9DA531,"<MultiGeometry><LineString><coordinates>15.895205,43.73502,0.0 16.250189,43.516387,0.0</coordinates></LineString></MultiGeometry>",5,3
699->113,希贝尼克->斯普利特,Croatia,#9DA531,"<MultiGeometry><LineString><coordinates>15.895205,43.73502,0.0 16.44668,43.515286,0.0</coordinates></LineString></MultiGeometry>",4,3
